ID                                      Fitness  Deception Model
07e7e05c-5818-4956-bf9d-e1237ac6a44b	48.25%	(({FleschKincaidReadabilityIndex:0.0} in [2.741093504306347, 15.620279928612188]) ? (({FleschReadabilityIndex:0.0} in [27.468904657169855, 40.73719...
886165c9-b12c-4303-809e-c6f6ff6038ea	49.00%	(({AutomatedReadabilityIndex:0.0} NE 31.179691291299857) ? (({NumberOfWords:0.0} in [232.14820100021177, 456.37050091598644]) ? (({NumberOfWords:0....
e4fa8557-8296-430f-8f17-c74a076a0a71	49.00%	(({FleschKincaidReadabilityIndex:0.0} in [28.083579352311553, 31.146012603145323]) ? (({NumberOfWords:0.0} LE 361.09342820479714) ? (({AvarageWordL...
afc69e5f-3220-463c-8a8e-7944bced7015	42.88%	(({FleschKincaidReadabilityIndex:0.0} in [7.421992741285038, 16.193491239240515]) ? (({SMOGReadabilityIndex:0.0} LE 6.7287583752009255) ? (({Number...
775c0a52-c539-4280-802b-c1b0b6979bdd	49.00%	(({NumberOfComplexWords:0.0} in [5.190553572609971, 44.84530956120176]) ? (({GunningFogIndex:0.0} in [12.415062847468494, 19.780743823771875]) ? ((...
aaa8c465-526a-4105-80a3-962a796f45f6	46.25%	(({NumberOfComplexWords:0.0} GT 20.58647665319438) ? (({SMOGReadability:0.0} EQ 6.545327030085957) ? (({ColemanLiauIndex:0.0} in [3.687412739105521...
352e3c4d-bb84-4c5c-8575-1f3b22b09974	52.00%	(({FleschKincaidReadabilityIndex:0.0} LE 9.416179084760039) ? (({NumberOfCharacters:0.0} EQ 1474.2683627758445) ? (({FleschKincaidReadabilityIndex:...
fbe2996e-5e51-4722-9d99-4a68f81ae877	53.25%	(({NumberOfWords:0.0} in [156.06749569608016, 737.0811646065968]) ? (({FleschReadabilityIndex:0.0} in [-16.02512628953759, 18.493583488761256]) ? (...
98ed573f-212f-4a4f-8a0c-3dbcdd3babdb	48.63%	(({FleschKincaidReadabilityIndex:0.0} in [34.03746653304353, 38.66976242086322]) ? (({AutomatedReadabilityIndex:0.0} NE 21.751822590194564) ? (({Fl...
5d2882d3-06f4-4c82-b5a2-b2c54b11bbba	50.38%	(({SMOGReadability:0.0} in [9.049024916700024, 14.69852746906922]) ? (({NumberOfComplexWords:0.0} EQ 68.8871051831831) ? (({GunningFogIndex:0.0} in...
87f93ea0-fb17-41e8-b86f-4ce6b12a7f11	48.75%	(({NumberOfComplexWords:0.0} LT 77.46992041740053) ? (({NumberOfComplexWords:0.0} in [52.80706820650874, 55.701835849056955]) ? (({SMOGReadabilityI...
a1ba0f29-4e71-45fb-924a-34e0aaf69f0b	48.00%	(({AvarageWordLength:0.0} LE 3.7438018061071783) ? (({SMOGReadability:0.0} LT 14.691020979616479) ? (({SMOGReadability:0.0} in [9.803080382232814, ...
b2a3cb9a-c4cf-463e-916e-09bfd0977671	50.63%	(({SMOGReadabilityIndex:0.0} in [11.74676668340171, 19.231198542751866]) ? (({FleschKincaidReadabilityIndex:0.0} in [7.284648829661357, 15.26852726...
7610d9dc-d6b2-43be-a567-c9262672bab1	44.50%	(({NumberOfComplexWords:0.0} in [17.764883095243327, 83.41561883545835]) ? (({FleschKincaidReadabilityIndex:0.0} in [20.281587884471655, 21.2811623...
170df53f-ad83-4d2f-aefe-962078e00ef6	45.38%	(({NumberOfWords:0.0} in [418.47577614182933, 680.0777552344247]) ? (({NumberOfWords:0.0} in [54.37306954205899, 724.149110555049]) ? (({FleschRead...
06093838-27d2-424f-9564-9b604764839c	49.00%	(({SMOGReadabilityIndex:0.0} in [6.438564651631773, 7.088131602503891]) ? (({FleschReadabilityIndex:0.0} LT 13.146252500893382) ? (({GunningFogInde...
d1774953-4618-46c6-ad10-427237e25e48	48.88%	(({NumberOfWords:0.0} in [633.3628666045242, 715.9722029969786]) ? (({AvarageWordLength:0.0} GT 4.846384845751255) ? (({ColemanLiauIndex:0.0} LE 6....
