                       RawText	                   WordsVector	                     Deceptive	             NumberOfSentences	                 NumberOfWords	          NumberOfComplexWords	             NumberOfSyllables	            NumberOfCharacters	             AvarageWordLength	     AutomatedReadabilityIndex	               SMOGReadability	          SMOGReadabilityIndex	              ColemanLiauIndex	               GunningFogIndex	 FleschKincaidReadabilityIndex	        FleschReadabilityIndex
This hotel was not worth it...	[[This, hotel, was, not, wo...	                         false	                           6.0	                          65.0	                           5.0	                          91.0	                         302.0	                      4.859375	                          5.87	                         8.344	                           8.0	                         9.566	                           6.8	                         5.155	                        77.399
This is a great hotel but t...	[[This, is, a, great, hotel...	                         false	                           5.0	                          77.0	                           8.0	                         107.0	                         331.0	             4.397435897435898	                         6.517	                        10.355	                         9.928	                         8.519	                          10.0	                         6.813	                        73.643
Just returned from 2 nights...	[[Just, returned, from, 2, ...	                         false	                          11.0	                         156.0	                          12.0	                         215.0	                         652.0	             4.272151898734177	                         5.346	                         9.096	                         8.721	                         6.817	                           8.4	                         6.204	                        75.844
I travel to chicago quite o...	[[I, travel, to, chicago, q...	                         false	                          11.0	                         157.0	                          11.0	                         212.0	                         612.0	             4.012658227848101	                         4.066	                         8.842	                         8.477	                          5.16	                           8.4	                          5.91	                        78.111
I stayed at the Sheraton Ch...	[[I, stayed, at, the, Shera...	                          true	                          17.0	                         244.0	                          29.0	                         349.0	                        1041.0	             4.392561983471074	                         5.841	                         10.59	                        10.154	                         7.329	                          10.0	                         6.886	                        71.261
Booked through Hotwire and ...	[[Booked, through, Hotwire,...	                         false	                           7.0	                         156.0	                          14.0	                         225.0	                         682.0	                           4.6	                        10.304	                        11.208	                        10.746	                          8.95	                          12.0	                        10.121	                        62.196
Stay Away! After generation...	[[Stay, Away], [After, gene...	                         false	                          35.0	                         611.0	                          70.0	                         898.0	                        2633.0	             4.626485568760611	                         7.596	                        11.208	                        10.746	                         8.582	                          11.2	                         8.561	                        64.778
We had the pleasure of enjo...	[[We, had, the, pleasure, o...	                          true	                          13.0	                         216.0	                          26.0	                         320.0	                         959.0	             4.534883720930233	                         7.789	                        11.208	                        10.746	                         9.351	                          11.2	                         8.371	                        64.637
Truly a tattered run down f...	[[Truly, a, tattered, run, ...	                         false	                           5.0	                          63.0	                           7.0	                          93.0	                         272.0	            4.3076923076923075	                         5.205	                         9.889	                         9.481	                          7.63	                           9.2	                         6.743	                         69.16
My stay was quick but aweso...	[[My, stay, was, quick, but...	                         false	                           3.0	                         165.0	                          10.0	                         209.0	                         628.0	            3.9515151515151516	                        23.997	                        13.559	                          13.0	                         6.618	                          24.4	                        20.807	                         43.85
The James Hotel in Chicago ...	[[The, James, Hotel, in, Ch...	                          true	                           3.0	                          32.0	                           5.0	                          51.0	                         158.0	                           5.0	                         7.159	                        10.504	                        10.071	                        11.282	                          10.0	                         7.376	                        61.177
For the amount of money per...	[[For, the, amount, of, mon...	                          true	                           5.0	                          96.0	                           7.0	                         132.0	                         417.0	                       4.40625	                         8.629	                         9.889	                         9.481	                         8.785	                          10.4	                         8.123	                        71.022
Fantastic stay! The hotel w...	[[Fantastic, stay], [The, h...	                          true	                          10.0	                         105.0	                          13.0	                         153.0	                         461.0	             4.528846153846154	                         4.499	                         9.643	                         9.245	                          8.06	                           8.8	                         5.699	                        72.903
The InterContinental Chicag...	[[The, InterContinental, Ch...	                          true	                           6.0	                          63.0	                          12.0	                         106.0	                         306.0	            4.9523809523809526	                         6.697	                        11.208	                        10.746	                        10.809	                          11.6	                         8.359	                        53.835
My husband and I loved this...	[[My, husband, and, I, love...	                          true	                           3.0	                          40.0	                           4.0	                          60.0	                         174.0	                          4.45	                         5.725	                         9.726	                         9.325	                         7.821	                           9.2	                          7.31	                        66.402
I recently stayed at the Ho...	[[I, recently, stayed, at, ...	                          true	                          16.0	                         195.0	                          15.0	                         251.0	                         745.0	             4.005208333333333	                         2.658	                          8.66	                         8.303	                         4.703	                           7.6	                         4.352	                        85.569
when we arrived the check i...	[[when, we, arrived, the, c...	                          true	                           1.0	                         105.0	                          10.0	                         145.0	                         419.0	             4.028301886792453	                        49.865	                        21.194	                        20.321	                         7.704	                          45.6	                        41.655	                       -16.569
The Hard Rock should stick ...	[[The, Hard, Rock, should, ...	                          true	                           8.0	                         150.0	                          12.0	                         196.0	                         589.0	             4.026666666666666	                          6.44	                        10.126	                         9.708	                         6.328	                          10.4	                         7.141	                         77.26
The Sheraton Chicago Hotel ...	[[The, Sheraton, Chicago, H...	                          true	                           6.0	                         121.0	                           9.0	                         157.0	                         472.0	             4.033613445378151	                         7.026	                        10.126	                         9.708	                         6.176	                          10.8	                         7.586	                        76.596
We decided to stay at The J...	[[We, decided, to, stay, at...	                          true	                           8.0	                         115.0	                          15.0	                         173.0	                         497.0	             4.452173913043478	                         6.113	                        10.952	                          10.5	                         7.655	                          10.8	                         7.768	                        64.977
I stayed here with a dozen ...	[[I, stayed, here, with, a,...	                         false	                           5.0	                          87.0	                           6.0	                         114.0	                         344.0	             4.114942528735632	                         5.893	                         9.387	                           9.0	                         6.489	                           9.2	                         6.658	                        78.319
I booked a hotel room for 4...	[[I, booked, a, hotel, room...	                         false	                          11.0	                         173.0	                          21.0	                         258.0	                         767.0	             4.337016574585635	                         7.316	                        11.022	                        10.568	                         9.313	                          10.8	                         8.141	                        64.705
I arrived and my friends we...	[[I, arrived, and, my, frie...	                         false	                          16.0	                         264.0	                          34.0	                         369.0	                        1098.0	            4.2218045112781954	                         6.409	                        11.457	                        10.984	                         7.697	                          11.2	                         7.338	                         71.84
If I didn't have to stay he...	[[If, I, did, not, have, to...	                         false	                           8.0	                         161.0	                          17.0	                         227.0	                         681.0	             4.433962264150943	                         8.555	                        11.457	                        10.984	                         8.114	                          12.0	                         8.896	                        67.127
The staff at the James Chic...	[[The, staff, at, the, Jame...	                          true	                           8.0	                         122.0	                          13.0	                         171.0	                         492.0	             4.140495867768595	                         5.189	                        10.411	                         9.982	                         6.953	                          10.0	                         6.897	                        72.778
Triple A rate with upgrade ...	[[Triple, A, rate, with, up...	                         false	                           5.0	                          43.0	                           4.0	                          65.0	                         226.0	            5.2444444444444445	                         7.625	                         8.239	                         7.899	                        12.157	                           6.8	                         5.601	                        70.222
We booked 2 rooms for 2 nig...	[[We, booked, 2, rooms, for...	                         false	                          22.0	                         295.0	                          17.0	                         390.0	                        1171.0	             4.129251700680272	                         3.971	                         8.151	                         7.815	                          5.58	                           7.2	                          5.24	                        81.381
